object_id,canonical_name,object_type,entity_id,place,granularity,census_status,canon_status,fictionality,source_id,source_path,source_commit,source_locator,exact_source_wording,relevant_date,date_precision,conflict_id,next_action,notes,decision_id
SH-SITE-0001,Sacramento headquarters campus,CAMPUS,SH-ENT-001,"Sacramento, California",CITY_OR_DISTRICT,CONSTRAINED,CANON_CONSTRAINED,FICTIONAL_IN_REAL_GEOGRAPHY,SRC-1412A4959F32,docs/canon/DECISION_REGISTER_ADDENDUM_2026-09-03.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,line:36,"| HQ-001 | Headquarters location | LOCKED | Sable Harbor headquarters is in Sacramento, California. |",,UNKNOWN,,Retain source constraint; exact footprint and valid dates require supported implementation.,"City locked; Railyards/River District seam is the handover constraint. 8–15 acres is a design range, not a legal parcel.",GEO-D001
SH-SITE-0002,Klein historical Pittsburgh-area shop,HISTORICAL_LAB,SH-ENT-003,"Pittsburgh area, Pennsylvania",CITY_OR_DISTRICT,CONFLICTING,CONFLICTING,FICTIONAL_IN_REAL_GEOGRAPHY,SRC-CURRENT-CURRENT-LORE,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.1.md,d91a22c35c91b213204411421de88815f27d8e16,line:579,"Klein leases a light-industrial building outside Pittsburgh with three-phase power, a loading dock, machine tools, improvised test fixtures, and enough space to bring physical equipment indoors.",2020–2022,YEAR_OR_RANGE,GEO-C002,Resolve only historical shop versus Hazelwood occupancy linkage.,Historical shop outside Pittsburgh; no in-world Evalon-to-Klein rename and no assumed same-site history with the Fort.,GEO-D017
SH-SITE-0003,The Fort — Willow industrial compound,LABORATORY,SH-ENT-002,"Pittsburgh area, Pennsylvania; Hazelwood study district retained",CITY_OR_DISTRICT,CONSTRAINED,CANON_CONSTRAINED,FICTIONAL_IN_REAL_GEOGRAPHY,SRC-CURRENT-FORT,docs/canon/WILLOW_KLEIN_CLOSEOUT_2026-09-06.md,d91a22c35c91b213204411421de88815f27d8e16,line:75,Willow's Pittsburgh-area physical center is a roughly **10–20 acre** industrial compound informally and then routinely called **the Fort**.,2022–2026,YEAR_OR_RANGE,,Site engineering and occupancy history; preserve GEO-C002 without reopening Fort concept.,"10–20 acres; Big Shed research, Small Shed administration/temporary lodging, White Shed intake/storage, Museum working yard. Exact parcel and historical occupancy remain unlocated.",GEO-D017
SH-SITE-0004,Emberline Charleston program geography,FIELD_PROGRAM,SH-ENT-004,"Charleston, West Virginia",CITY_OR_DISTRICT,HISTORICAL,HISTORICAL,FICTIONAL_IN_REAL_GEOGRAPHY,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,line:88,"| EMB-001 | Project Emberline | LOCKED supersession | 2022–2025 Charleston coal field/commercial venture, not standalone 2026 division |",2022–2025,YEAR_OR_RANGE,,Retain source constraint; exact footprint and valid dates require supported implementation.,Program 2022–2025; physical closure date and exact office not established. Do not depict a standalone 2026 Emberline division.,GEO-D007
SH-SITE-0005,Bedford — Cradle recovery-development center,RECOVERY_DEVELOPMENT,SH-ENT-005,"Fairmont area, north-central West Virginia",CITY_OR_DISTRICT,CONSTRAINED,CANON_CONSTRAINED,FICTIONAL_IN_REAL_GEOGRAPHY,SRC-CURRENT-CRADLE,docs/canon/CRADLE_CLOSEOUT_2026-09-06.md,d91a22c35c91b213204411421de88815f27d8e16,line:136,Bedford is located in the **Fairmont area of north-central West Virginia** on a fictional redeveloped industrial brownfield. The working site scale is approximately **15–20 acres**.,,UNKNOWN,,"Implement parcel, access, utilities and brownfield screen; regional business canon is closed.","15–20 acre fictional brownfield; separate from Demotte host treatment site. Belle/Kanawha is superseded editorial siting, not an in-world relocation.",GEO-D016
SH-SITE-0006,Red Wash Mine,UNDERGROUND_URANIUM_MINE,SH-ENT-007,"Great Divide Basin / Red Desert, Sweetwater County, Wyoming; anchor 42.22,-108.18",USER_CONTROL_COORDINATE,LOCKED,CANON_SITED,FICTIONAL_IN_REAL_GEOGRAPHY,SRC-ADDENDUM-20260905,geospatial/sources/GOVERNING_CANON_ADDENDUM_2026-09-05.md,,section:2.1-2.3,"Latitude: 42.22
    Longitude: -108.18",2025-07-18,DAY,,"Engineer full site polygon, access and rail relationship from approved anchor.",User-approved fictional map anchor; Carbon image geography superseded. No survey or real mine claim.,GEO-D010
SH-SITE-0007,Taylor — BS&T industrial town and operating hub,RAIL_SETTLEMENT,SH-ENT-009,"42.12 N, 108.10 W; Sweetwater County, Wyoming",CITY_OR_DISTRICT,LOCKED_DERIVED_IMPLEMENTATION,ENGINEERED,FICTIONAL_IN_REAL_GEOGRAPHY,SRC-CURRENT-OPS,industrial/source/operations.json,d91a22c35c91b213204411421de88815f27d8e16,/geography,"{""branch_route_miles"": 6.651523236388773, ""branches"": [{""end"": [-108.01259365641332, 41.90370776148441], ""id"": ""BST-EAST"", ""junction"": [-108.06913082528824, 41.86427758524971], ""miles"": 3.999999999999637}, {""end"": [-108.07098660485325, 42.03495699312325], ""id"": ""BST-MINERAL"", ""junction"": [-108.11616017126433, 42.017007957526936], ""miles"": 2.651523236389135}], ""county"": ""Sweetwater County"", ""county_geoid"": ""56037"", ""geojson_crs"": ""EPSG:4326; longitude then latitude"", ""historical_route_epochs"": [{""effective_date"": ""1898-04-06"", ""epoch"": ""1898"", ""event"": ""Coal-origin predecessor organized"", ""extent_state"": ""UNKNOWN_EARLY_ALIGNMENT"", ""history_id"": ""HIST-1898"", ""note"": ""The 1954 surviving-mileage estimate is not backdated into a measured 1898 network."", ""route_miles"": null}, {""effective_date"": ""1954-07-01"", ""epoch"": ""1954"", ""event"": ""Rescue and BS&T reorganization"", ""extent_state"": ""RECONSTRUCTED_RANGE_UNLOCATED"", ""history_id"": ""HIST-1954"", ""note"": ""14–16 surviving route-miles. Diagram placement is conceptual; no georeferenced historical survey or claim of an unchanged modern alignment."", ""route_miles"": null, ""surviving_route_miles_high"": 16, ""surviving_route_miles_low"": 14}, {""effective_date"": ""1968-10-14"", ""epoch"": ""1968"", ""event"": ""Taylor mainline extension and relocated industrial hub complete"", ""extent_state"": ""DERIVED_CASE_ENGINEERING_HISTORY"", ""gross_new_construction_miles"": null, ""history_id"": ""HIST-1968"", ""net_route_growth_from_1954_high"": 19.34847676361104, ""net_route_growth_from_1954_low"": 17.34847676361104, ""note"": ""Net route growth is bounded arithmetically. Gross construction and relocated old-line mileage remain unknown."", ""route_miles"": 33.34847676361104}, {""added_route_miles"": 4, ""effective_date"": ""1972-05-08"", ""epoch"": ""1972"", ""event"": ""East Materials branch added"", ""extent_state"": ""DERIVED_CASE_ENGINEERING_HISTORY"", ""history_id"": ""HIST-1972"", ""route_miles"": 37.34847676361104}, {""added_route_miles"": 2.651523236388961, ""effective_date"": ""1986-09-19"", ""epoch"": ""1986"", ""event"": ""Mineral Transfer branch added"", ""extent_state"": ""DERIVED_CASE_ENGINEERING_HISTORY"", ""history_id"": ""HIST-1986"", ""route_miles"": 40}, {""effective_date"": ""1991-01-02"", ""epoch"": ""1991"", ""event"": ""ARU becomes railway parent; route extent unchanged"", ""extent_state"": ""DERIVED_CASE_ENGINEERING_HISTORY"", ""history_id"": ""HIST-1991"", ""route_miles"": 40}, {""effective_date"": ""2026-09-05"", ""epoch"": ""2026"", ""event"": ""Current operating network"", ""extent_state"": ""CURRENT_SYNTHETIC_ENGINEERED_ALIGNMENT"", ""history_id"": null, ""note"": ""No Red Wash mine rail spur; parallel yard tracks excluded from route mileage."", ""route_miles"": 40}], ""last_mile_road_miles"": 9, ""mainline_route_miles"": 33.34847676361104, ""map_crs"": ""Local equirectangular metric frame, origin42N/-108.1E; mean Earth6371008.8m; screening map only"", ""network_geodesic_route_miles"": 39.99999999999981, ""red_wash_dem_screening_elevation_m"": 2098.42431640625, ""red_wash_lon_lat"": [-108.18, 42.22], ""red_wash_nad83_utm12_m"": [732748.7819909531, 4678053.6106418725], ""road_state"": ""SYNTHETIC existing industrial access, upgraded2026. Geometry is an engineered case assumption, not a verified public-road route or ROW."", ""route_miles_definition"": ""Unique centerline route miles. Parallel yard, shop and passing tracks excluded."", ""route_miles_target"": 40, ""selected_branch_bearings_degrees"": {""BST-EAST"": 45, ""BST-MINERAL"": 60}, ""selected_candidate"": ""TAYLOR-A"", ""selection_reason"": ""33.34848mi inherited screened mainline leaves6.65152mi for external customer branches. B37.06154/C38.81328mi leave too little independent branch estate. No candidate mine rail connector adopted."", ""source_file_sha256"": {""geography/candidate_comparison.json"": ""bf57f866ca9289227f23c17cc01733c942cbcdf1d3025999f5bb853a4101e982"", ""geography/dem_manifest.json"": ""3a6da11c438f93bdfc4050b31e3b3d008f752b78e02d10039a3f821fbd095c4b"", ""geography/derived_ground_profiles.json"": ""b1aad8b21f726c4012cb89a7e955dd3d621c0c6d32176fc990d0d1697ca7fbcf"", ""geography/network.geojson"": ""bd6ea938ec59f50c79ee0a23fb5aa2817dcb1bb98fce8a951a073d0152a406f5"", ""geography/reference_manifest.json"": ""f4ad599b41d8f0e3301408990fa3ccc7f626425a1f625db34263388e71f33783"", ""geography/selected_mainline.geojson"": ""31e41659650ea9117fdd2623ed0b9f2fcd024a7f29b9fb44591548f78251afc4"", ""geography/spatial_screen.json"": ""72ae6cd29e1d7ae131b96e9660a6e388fa4d2255907621e428b6df38d75de461"", ""geography/wamsutter_fra_rail.geojson"": ""d24d20bdae879bff9cbbbb2ca968e52697b42913aba7614e9dca7038542c9b42"", ""geography/wamsutter_highways.geojson"": ""81fe705260fefe9d195d4a1c8f362930af6aad7b6bf40064c9017795b838e24f"", ""geography/wyoming_counties.geojson"": ""77b08fefe008358324d49b9ef769257ad1aa5cb3f91f72ff15b8a37313a6e5ab"", ""geography/wyoming_dem_service.json"": ""a300a739a6e47627d1cd6921fca368004d88a8ac62d6d32c64571c669e4349bb"", ""geography/wyoming_local_roads.geojson"": ""7e3345de206ce8dd2610ad4469175b239ea72f0126dff0c89ada3c5b8b058c75"", ""geography/wyoming_screening_dem.tif"": ""0ea3719bb01c73e6e4ccaf1c21defa609a945ae7342ce58409479f574ba19b96"", ""geography/wyoming_waterbodies.geojson"": ""82c333660ce69714452e999c9ef871adb5bbcf328776cc81ce2dd003482a046f""}, ""taylor_lon_lat"": [-108.1, 42.12], ""wamsutter_junction_lon_lat"": [-107.96562715205644, 41.6744965783547]}",,UNKNOWN,,Reconcile with accepted industrial model; precise surveying/land rights remain separate.,Current case source replaces old unresolved/proposed scope. Taylor is fictional; municipal incorporation is not asserted.,GEO-D018
SH-SITE-0008,Wamsutter fictional interchange,INTERCHANGE_STUDY,SH-ENT-009,"Wamsutter, Wyoming",CITY_OR_DISTRICT,LOCKED_DERIVED_IMPLEMENTATION,ENGINEERED,FICTIONAL_IN_REAL_GEOGRAPHY,SRC-CURRENT-OPS,industrial/source/operations.json,d91a22c35c91b213204411421de88815f27d8e16,/facilities/0,"{""acreage"": 18, ""annual_external_ton_capacity"": 0, ""assigned_fte"": 6, ""car_spots"": 60, ""case_status"": ""SYNTHETIC_OPERATING"", ""condition"": ""serviceable with identified maintenance backlog"", ""environmental_controls"": ""segregated drainage, spillkits, stormwater inspection, protected storage and recorded custody"", ""fact_state"": ""LOCKED_DERIVED_IMPLEMENTATION"", ""footprint_aspect_ratio"": 3, ""footprint_basis"": ""Rectangular site envelope derived from stated acreage and declared aspect ratio; not a cadastral boundary or surveyed property."", ""id"": ""FAC-WAM-INT"", ""lon_lat"": [-107.96562715205644, 41.6744965783547], ""name"": ""Wamsutter interchange"", ""opened"": ""1968-10-14"", ""operating_hours"": ""five-day service; dispatch/oncall exceptions; mine continuous receiving by appointment"", ""owner"": ""Blood, Sweat & Tears Railway Company"", ""pallet_slots"": 0, ""provenance"": ""Synthetic case implementation derived from reconciled handoff and explicit user authority; no external party or surveyed certification claimed"", ""services"": ""Three20car tracks; each accommodates16car roadtrain plus pairedlocomotives; synthetic UP interchange agreement"", ""track_count"": 3}",,UNKNOWN,,Reconcile with accepted industrial model; precise surveying/land rights remain separate.,Current case source replaces old unresolved/proposed scope. Taylor is fictional; municipal incorporation is not asserted.,GEO-D018
SH-SITE-0009,Blackridge Mine,OPEN_PIT_COPPER_GOLD_MINE,SH-ENT-010,Nevada,REGIONAL,CONSTRAINED,CANON_CONSTRAINED,FICTIONAL_IN_REAL_GEOGRAPHY,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,line:68,"- Argent Ridge Mining operated Blackridge, a Nevada open-pit copper-and-gold mine.",2015,YEAR_OR_RANGE,,Retain source constraint; exact footprint and valid dates require supported implementation.,"External founding-history mine, not a Sable Harbor owned asset. Exact location unresolved.",GEO-D008
SH-SITE-0010,Forty-Seven Names customer operation,CUSTOMER_MINE,,Nevada,REGIONAL,CONSTRAINED,CANON_CONSTRAINED,FICTIONAL_IN_REAL_GEOGRAPHY,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,8d20e51a7cf0068729e3296840ccb5ba1ac1d7bd,line:27,| FND-003 | Forty-Seven Names | LOCKED | 2016 identity-seam incident at Nevada copper customer |,2016,YEAR_OR_RANGE,,Retain source constraint; exact footprint and valid dates require supported implementation.,Unnamed copper customer. Do not conflate with Blackridge.,GEO-D008
