object_id,source_id,source_path,source_locator,decision_id,status
SH-SITE-0001,SRC-1412A4959F32,docs/canon/DECISION_REGISTER_ADDENDUM_2026-09-03.md,line:36,GEO-D001,CANON_CONSTRAINED
SH-SITE-0002,SRC-CURRENT-CURRENT-LORE,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.1.md,line:579,GEO-D017,CONFLICTING
SH-SITE-0003,SRC-CURRENT-FORT,docs/canon/WILLOW_KLEIN_CLOSEOUT_2026-09-06.md,line:75,GEO-D017,CANON_CONSTRAINED
SH-SITE-0004,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:88,GEO-D007,HISTORICAL
SH-SITE-0005,SRC-CURRENT-CRADLE,docs/canon/CRADLE_CLOSEOUT_2026-09-06.md,line:136,GEO-D016,CANON_CONSTRAINED
SH-SITE-0006,SRC-ADDENDUM-20260905,geospatial/sources/GOVERNING_CANON_ADDENDUM_2026-09-05.md,section:2.1-2.3,GEO-D010,CANON_SITED
SH-SITE-0007,SRC-CURRENT-OPS,industrial/source/operations.json,/geography,GEO-D018,ENGINEERED
SH-SITE-0008,SRC-CURRENT-OPS,industrial/source/operations.json,/facilities/0,GEO-D018,ENGINEERED
SH-SITE-0009,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:68,GEO-D008,CANON_CONSTRAINED
SH-SITE-0010,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:27,GEO-D008,CANON_CONSTRAINED
SH-SITE-0011,SRC-D038D3A87100,docs/canon/SABLE_HARBOR_CANONICAL_ARCHITECTURE_HANDOVER.md,line:655,GEO-D008,PROPOSED
SH-SITE-0012,SRC-D038D3A87100,docs/canon/SABLE_HARBOR_CANONICAL_ARCHITECTURE_HANDOVER.md,line:656,GEO-D008,PROPOSED
SH-SITE-0013,SRC-D038D3A87100,docs/canon/SABLE_HARBOR_CANONICAL_ARCHITECTURE_HANDOVER.md,line:657,GEO-D008,PROPOSED
SH-SITE-0014,SRC-A3ABC1DA40B3,docs/j2/EDUCATION.md,line:6,GEO-D008,UNKNOWN
SH-SITE-0015,SRC-0DA566D3CF72,docs/j2/J2_HEADQUARTERS.md,line:6,GEO-D008,UNKNOWN
SH-SITE-0016,SRC-F57EE60ABBEA,docs/canon/CORPORATE_HEADQUARTERS_CLOSEOUT_2026-09-03.md,line:352,GEO-D008,UNKNOWN
SH-SITE-0017,SRC-D038D3A87100,docs/canon/SABLE_HARBOR_CANONICAL_ARCHITECTURE_HANDOVER.md,line:1097,GEO-D008,UNKNOWN
SH-SITE-0018,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:203,GEO-D008,UNKNOWN
SH-SITE-0019,SRC-BE31B2023403,docs/organization/ARU_BST_AND_ADVISORY.md,line:52,GEO-D008,UNKNOWN
SH-SITE-0020,SRC-CURRENT-OPS,industrial/source/operations.json,/facilities,GEO-D018,ENGINEERED
SH-SITE-0021,SRC-CURRENT-OPS,industrial/source/operations.json,/contract_facility_assignments,GEO-D018,ENGINEERED
SH-SITE-0022,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:1337,GEO-D008,UNKNOWN
SH-SITE-0023,SRC-CURRENT-CRADLE,docs/canon/CRADLE_CLOSEOUT_2026-09-06.md,line:49,GEO-D016,CANON_CONSTRAINED
SH-SITE-0024,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:101,GEO-D008,UNKNOWN
SH-SITE-0025,SRC-748B20676052,docs/canon/RED_WASH_TRANSACTION_OPERATING_RECORD_2026-09-05.md,line:166,GEO-D008,UNKNOWN
SH-SITE-0026,SRC-40E5C203B8CD,geospatial/sources/MASTER_EXECUTION_MANDATE.md,line:2572,GEO-D008,UNKNOWN
SH-RAIL-0001,SRC-CURRENT-OPS,industrial/source/operations.json,/geography,GEO-D018,ENGINEERED
SH-RAIL-0002,SRC-CURRENT-OPS,industrial/source/operations.json,/geography,GEO-D018,ENGINEERED
SH-RAIL-0003,SRC-9C0F6B8A1E54,docs/canon/DECISION_REGISTER_ADDENDUM_2026-09-05_RED_WASH.md,line:41,GEO-D008,UNKNOWN
SH-REF-0001,SRC-40E5C203B8CD,geospatial/sources/MASTER_EXECUTION_MANDATE.md,line:1498,GEO-D008,REAL_REFERENCE
SH-REF-0002,SRC-40E5C203B8CD,geospatial/sources/MASTER_EXECUTION_MANDATE.md,line:1499,GEO-D008,REAL_REFERENCE
SH-REF-0003,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:706,GEO-D008,REAL_REFERENCE
SH-REF-0004,SRC-40E5C203B8CD,geospatial/sources/MASTER_EXECUTION_MANDATE.md,line:320,GEO-D008,REAL_REFERENCE
SH-REF-0005,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:88,GEO-D008,REAL_REFERENCE
SH-REF-0006,SRC-40E5C203B8CD,geospatial/sources/MASTER_EXECUTION_MANDATE.md,line:347,GEO-D008,REAL_REFERENCE
SH-REF-0007,SRC-40E5C203B8CD,geospatial/sources/MASTER_EXECUTION_MANDATE.md,line:360,GEO-D008,REAL_REFERENCE
SH-REF-0008,SRC-40E5C203B8CD,geospatial/sources/MASTER_EXECUTION_MANDATE.md,line:446,GEO-D008,REAL_REFERENCE
SH-REF-0009,SRC-40E5C203B8CD,geospatial/sources/MASTER_EXECUTION_MANDATE.md,line:390,GEO-D008,REAL_REFERENCE
SH-REF-0010,SRC-40E5C203B8CD,geospatial/sources/MASTER_EXECUTION_MANDATE.md,line:391,GEO-D008,REAL_REFERENCE
SH-REF-0011,SRC-8A959F20B570,red_wash/docs/02_GEOLOGICAL_TECHNICAL_REPORT.md,line:7,GEO-D008,REAL_REFERENCE
SH-REF-0012,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:68,GEO-D008,REAL_REFERENCE
SH-REF-0013,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:1089,GEO-D008,REAL_REFERENCE
SH-REF-0014,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:1091,GEO-D008,REAL_REFERENCE
SH-REF-0015,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:1093,GEO-D008,REAL_REFERENCE
SH-REF-0016,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:1110,GEO-D008,REAL_REFERENCE
SH-REF-0017,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:160,GEO-D008,REAL_REFERENCE
SH-REF-0018,SRC-1BC6AF8E56F7,docs/canon/SABLE_HARBOR_CONTINUITY_AUDIT_v0.2.md,line:409,GEO-D008,REAL_REFERENCE
SH-REF-0019,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:620,GEO-D008,REAL_REFERENCE
SH-REF-0020,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:620,GEO-D008,REAL_REFERENCE
SH-REF-0021,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:620,GEO-D008,REAL_REFERENCE
SH-REF-0022,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:867,GEO-D008,REAL_REFERENCE
SH-REF-0023,SRC-9525A89B2336,docs/canon/SABLE_HARBOR_CORPORATE_LORE_CANON_v0.3.md,line:883,GEO-D008,REAL_REFERENCE
SH-REF-0024,SRC-6529D6724FBF,docs/legal/PRELIMINARY_NAME_AND_MARK_SCREEN.md,line:113,GEO-D008,REAL_REFERENCE
SH-REF-0025,SRC-F57EE60ABBEA,docs/canon/CORPORATE_HEADQUARTERS_CLOSEOUT_2026-09-03.md,line:341,GEO-D008,REAL_REFERENCE
SH-REF-0026,SRC-F57EE60ABBEA,docs/canon/CORPORATE_HEADQUARTERS_CLOSEOUT_2026-09-03.md,line:341,GEO-D008,REAL_REFERENCE
SH-FAC-RW-001,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Mine Portal (Decline),GEO-D008,UNKNOWN
SH-FAC-RW-002,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Surface Operations,GEO-D008,UNKNOWN
SH-FAC-RW-003,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Ventilation Raise (Exhaust),GEO-D008,UNKNOWN
SH-FAC-RW-004,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Fresh Air Intake,GEO-D008,UNKNOWN
SH-FAC-RW-005,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Processing Plant,GEO-D008,UNKNOWN
SH-FAC-RW-006,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Loadout (Rail/Truck),GEO-D008,UNKNOWN
SH-FAC-RW-007,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Tailings Management Facility,GEO-D008,UNKNOWN
SH-FAC-RW-008,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Administration / Dry,GEO-D008,UNKNOWN
SH-FAC-RW-009,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Power Substation,GEO-D008,UNKNOWN
SH-FAC-RW-010,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Maintenance,GEO-D008,UNKNOWN
SH-FAC-RW-011,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Mine Rescue / Emergency,GEO-D008,UNKNOWN
SH-FAC-RW-012,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Fuel & Explosives Storage,GEO-D008,UNKNOWN
SH-FAC-RW-013,SRC-7B82D38FA142,assets/brand/maps/red_wash__site_overview.png,site key / visible label: Water Management,GEO-D008,UNKNOWN
SH-FAC-RW-L1,SRC-4BCEA6C47614,assets/brand/maps/red_wash__underground_plan.png,underground level 1,GEO-D008,UNKNOWN
SH-FAC-RW-L2,SRC-4BCEA6C47614,assets/brand/maps/red_wash__underground_plan.png,underground level 2,GEO-D008,UNKNOWN
SH-FAC-RW-L3,SRC-4BCEA6C47614,assets/brand/maps/red_wash__underground_plan.png,underground level 3,GEO-D008,UNKNOWN
SH-FAC-RW-L4,SRC-4BCEA6C47614,assets/brand/maps/red_wash__underground_plan.png,underground level 4,GEO-D008,UNKNOWN
SH-FAC-RW-L5,SRC-4BCEA6C47614,assets/brand/maps/red_wash__underground_plan.png,underground level 5,GEO-D008,UNKNOWN
SH-BR-FACILITY-001,SRC-62D9DE5F51D2,blackridge/data/public/databases/blackridge_m00_v0.1.0.sqlite3,table:facility:distinct-name:Facility 1,GEO-D008,ILLUSTRATIVE
SH-BR-FACILITY-002,SRC-62D9DE5F51D2,blackridge/data/public/databases/blackridge_m00_v0.1.0.sqlite3,table:facility:distinct-name:Facility 2,GEO-D008,ILLUSTRATIVE
SH-BR-WAREHOUSE-001,SRC-62D9DE5F51D2,blackridge/data/public/databases/blackridge_m00_v0.1.0.sqlite3,table:warehouse:distinct-name:Warehouse 1,GEO-D008,ILLUSTRATIVE
SH-BR-PIT-001,SRC-62D9DE5F51D2,blackridge/data/public/databases/blackridge_m00_v0.1.0.sqlite3,table:pit:distinct-name:Pit 1,GEO-D008,ILLUSTRATIVE
SH-BR-BENCH-001,SRC-62D9DE5F51D2,blackridge/data/public/databases/blackridge_m00_v0.1.0.sqlite3,table:bench:distinct-name:Bench 1,GEO-D008,ILLUSTRATIVE
SH-BR-STOCKPILE-001,SRC-62D9DE5F51D2,blackridge/data/public/databases/blackridge_m00_v0.1.0.sqlite3,table:stockpile:distinct-name:Stockpile 1,GEO-D008,ILLUSTRATIVE
SH-BR-BUILDING-001,SRC-62D9DE5F51D2,blackridge/data/public/databases/blackridge_m00_v0.1.0.sqlite3,table:building:distinct-name:Building 1,GEO-D008,ILLUSTRATIVE
SH-EVT-0001,SRC-9C0F6B8A1E54,docs/canon/DECISION_REGISTER_ADDENDUM_2026-09-05_RED_WASH.md,line:17,GEO-D008,CANON_CONSTRAINED
SH-EVT-0002,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:161,GEO-D008,CANON_CONSTRAINED
SH-EVT-0003,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:159,GEO-D008,CANON_CONSTRAINED
SH-EVT-0004,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:95,GEO-D008,CANON_CONSTRAINED
SH-EVT-0005,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:97,GEO-D008,CANON_CONSTRAINED
SH-EVT-0006,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:88,GEO-D008,CANON_CONSTRAINED
SH-EVT-0007,SRC-A6FFA504C779,docs/canon/DECISION_REGISTER.md,line:27,GEO-D008,CANON_CONSTRAINED
SH-EVT-0008,SRC-CURRENT-OPS,industrial/source/operations.json,industrial/source/entities.json#/entities/4,GEO-D018,ENGINEERED
SH-BR-AREA-001,SRC-FDAF759E748F,blackridge/docs/canon/BLACKRIDGE_CANON_IMPLEMENTATION_SPEC.md,lines:3-4,GEO-D008,CANON_CONSTRAINED
SH-SITE-0027,SRC-CURRENT-CRADLE,docs/canon/CRADLE_CLOSEOUT_2026-09-06.md,line:95,GEO-D016,CANON_CONSTRAINED
